date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 13:09:33,JornalMercantil,,0,0,0,"British supermarkets' plea to shoppers: stop panic buying http://dlvr.it/RRwX7J",,,,1239176912439627778,https://twitter.com/JornalMercantil/status/1239176912439627778
2020-03-15 12:22:34,LoreBetto,,0,0,1,"Jornal Madeira denies the report #Ronaldo #CristianoRonaldo",,,#Ronaldo #CristianoRonaldo,1239165090286485504,https://twitter.com/LoreBetto/status/1239165090286485504
2020-03-15 11:58:09,mch3ira,BrawlerWarfield,0,0,0,"In Portugal there's a joke song that has been around for as long as I've lived that literally goes like: Jingle bells (2x) Já não há papel | There is no more (toilet) paper Não faz mal (2x) | It's ok (2x) Limpa-te ao jornal | Clean yourself with newspaper I swear this is real ",,,,1239158943735316482,https://twitter.com/mch3ira/status/1239158943735316482
2020-03-15 11:33:13,JornalDestak,,0,0,0,"Covid-19: Hollywood trava a fundo por causa da pandemia",,,,1239152668624523264,https://twitter.com/JornalDestak/status/1239152668624523264
2020-03-15 10:10:14,JornalTornado,,0,0,0,"Street art em Sampa https://www.jornaltornado.pt/?p=105810 via @JornalTornado",,@JornalTornado,,1239131786296414209,https://twitter.com/JornalTornado/status/1239131786296414209
2020-03-15 09:16:22,Vitor1970,Vitor1970,0,0,0,"Uma das matérias em que o número de pessoas aparece (jornal da Fox): “The NSC during the Obama administration grew to about 250 professionals, according to Trump's current national security adviser, Robert O'Brien. The staff has been cut to about 110 or 115 staffers, he said.”",,,,1239118228795928576,https://twitter.com/Vitor1970/status/1239118228795928576
2020-03-15 08:50:05,marcelot_art,,0,0,0,"“A well governed state is the best environment for growth.” - Democritus *(Macron’s bust, work in progress) #Marcelot #MarcelotArt #Art #Artist #Sculpture #FineArts #ContemporaryArt #Sculpteur #PortraitArt #Escultura #Arte #Kunst #Jornal #Newspaper #Zeitung #macron #headsofpower",,,#Marcelot #MarcelotArt #Art #Artist #Sculpture #FineArts #ContemporaryArt #Sculpteur #PortraitArt #Escultura #Arte #Kunst #Jornal #Newspaper #Zeitung #macron #headsofpower,1239111615213166594,https://twitter.com/marcelot_art/status/1239111615213166594
2020-03-15 04:21:11,ujungsis,,0,0,2,"as visuais mais visuais do kpop seguindo o jornal oficial do mundinho edu henrique BR 1. nana - after school 2. jiyeon - t-ara 3. yoona - snsd 4. miyeon - idle 5. nahyun - sonamoo 6. jieun - secret 7. hani - exid 8. suzy - miss a 9. jiho - oh my girl 10. irene - red velvet",,,,1239043944387948546,https://twitter.com/ujungsis/status/1239043944387948546
2020-03-15 00:56:20,B05459017,,2,0,0,"playing RDR to keep my mind of the COVID-19 pandemic, noticing some bugs like: - Arthur appears to write in his journal with a pen in cutscenes - The back of the jornal has been glitched since ver.1.00, there is a bugged white texture floating off of it (cont.)",,,,1238992393787125760,https://twitter.com/B05459017/status/1238992393787125760
2020-03-15 00:12:15,toninhaveras,,0,0,0,"JORNAL DA BAND - 14/03/2020 https://youtu.be/HLi3RRHS_F8 via @YouTube",,@YouTube,,1238981299035156481,https://twitter.com/toninhaveras/status/1238981299035156481
2020-03-14 23:50:43,Lexie_clouds,hwangcults,1,0,1,"Not only them.... I saw that num jornal tbm",,,,1238975881152024580,https://twitter.com/Lexie_clouds/status/1238975881152024580
2020-03-14 23:35:15,Jornal_Tricolor,,0,1,3,"Pablo quase marca um HAT-TRICK",,,,1238971988410019841,https://twitter.com/Jornal_Tricolor/status/1238971988410019841
2020-03-14 23:17:16,Danlic,,0,0,0,"New post (Dieta LowCarb no Jornal da Record - Receitas Lowca...) has been published on Cookware and Recipes - ",,,,1238967461321428992,https://twitter.com/Danlic/status/1238967461321428992
2020-03-14 22:59:00,jenseul,,0,0,0,"lady gaga por favor",,,,1238962866713235460,https://twitter.com/jenseul/status/1238962866713235460
2020-03-14 22:42:34,jenseul,,0,0,1,"fome#",,,,1238958731112730629,https://twitter.com/jenseul/status/1238958731112730629
2020-03-14 22:38:34,MariDasQuebrada,,0,0,2,"Canais que indico: TED-Ed Kurzgesagt Nexo jornal Superinteressante",,,,1238957723674435584,https://twitter.com/MariDasQuebrada/status/1238957723674435584
2020-03-14 22:12:32,JornalMercantil,,0,0,0,"Greece reports two more coronavirus fatalities, bans all flights to Italy http://dlvr.it/RRvBMx",,,,1238951171299000321,https://twitter.com/JornalMercantil/status/1238951171299000321
2020-03-14 19:53:04,JornalDOBRABIL,,0,0,0,"este GC da GloboNews....",,,,1238916073031860225,https://twitter.com/JornalDOBRABIL/status/1238916073031860225
2020-03-14 16:57:29,arctmxnks,drarrryy,1,0,1,"johnlock / jornal",,,,1238871885028491265,https://twitter.com/arctmxnks/status/1238871885028491265
2020-03-14 16:46:50,PortugalJornal,,0,0,0,"London, England, U.K. A noticia mostra a realidade que muitos paises escondem. Previnam se e preparem-se para perder muitos mais familiares. UK HEALTH MİNİSTRY The UK health ministry has announced that… https://www.instagram.com/p/B9uKWKNjxrn/?igshid=1kpzff3p3yxiq",,,,1238869207904915456,https://twitter.com/PortugalJornal/status/1238869207904915456
2020-03-14 16:34:05,JornalMercantil,,0,0,0,"Confirmed Dutch coronavirus infections rise by 155 to 959, two more deaths http://dlvr.it/RRtWsJ",,,,1238865999203426304,https://twitter.com/JornalMercantil/status/1238865999203426304
2020-03-14 16:17:26,joseschneider74,realDonaldTrump,0,0,0,"Agent sees more and more bending for this communist china that does and nothing happens will be time for the over warning to work",,,,1238861807407824897,https://twitter.com/joseschneider74/status/1238861807407824897
2020-03-14 15:10:47,O_Badernista,folha,0,0,1,"What?!?!?",,,,1238845035325595648,https://twitter.com/O_Badernista/status/1238845035325595648
2020-03-14 13:37:30,JORNALDCAMPINAS,,0,0,0,"Hey check this out",,,,1238821557465681920,https://twitter.com/JORNALDCAMPINAS/status/1238821557465681920
2020-03-14 13:09:04,JornalMercantil,,0,0,0,"As world grapples with pandemic, Tokyo 2020's Twitter account puts on a happy face http://dlvr.it/RRt2Nn",,,,1238814402255585280,https://twitter.com/JornalMercantil/status/1238814402255585280
2020-03-14 13:03:21,laurnxplicit,uchihamavel,0,0,1,"+5000 mortes",,,,1238812962992934912,https://twitter.com/laurnxplicit/status/1238812962992934912
2020-03-14 12:31:13,joseschneider74,realDonaldTrump,0,0,0,"It is amazing how China likes to throw Trash in the courtyard of others, and still accuse others who throw Trash.",,,,1238804878614573057,https://twitter.com/joseschneider74/status/1238804878614573057
2020-03-14 12:19:10,joseschneider74,,0,0,2,"For international law, China has a duty to indemnify people and countries victimized by the coronavirus",,,,1238801846212472832,https://twitter.com/joseschneider74/status/1238801846212472832
